date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:03:31	240324/240324	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jul%202020%2014:03:30%20GMT	https://lf6105.mayxayyamasaki.com/	D:/MyPham/LadiPages/Downloads/mayxay/lf6105.mayxayyamasaki.com/index.html	(from )
21:03:31	22/22	---M--	200	added ('OK')	text/plain	date:Thu,%2023%20Jul%202020%2014:03:30%20GMT	https://lf6105.mayxayyamasaki.com/robots.txt		(from )
21:03:31	150/150	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Jul%202020%2014:03:31%20GMT	https://static.ladipage.net/5c2ec58763e3642db9c8b15c/untitled-1-1546663500.png	D:/MyPham/LadiPages/Downloads/mayxay/static.ladipage.net/5c2ec58763e3642db9c8b15c/untitled-1-1546663500.0.delayed	(from https://lf6105.mayxayyamasaki.com/)
21:03:32	14228/14228	---MCZ	200	added ('OK')	image/png	date:Thu,%2023%20Jul%202020%2014:03:32%20GMT	https://w.ladicdn.com:443/5c2ec58763e3642db9c8b15c/untitled-1-1546663500.png	D:/MyPham/LadiPages/Downloads/mayxay/w.ladicdn.com_443/5c2ec58763e3642db9c8b15c/untitled-1-1546663500.png	(from https://lf6105.mayxayyamasaki.com/)
21:03:32	151161/151161	---MC-	200	added ('OK')	text/javascript	date:Thu,%2023%20Jul%202020%2014:03:32%20GMT	https://w.ladicdn.com/v2/source/ladipage.min.js?v=1594871868154	D:/MyPham/LadiPages/Downloads/mayxay/w.ladicdn.com/v2/source/ladipage.min6f20.js	(from https://lf6105.mayxayyamasaki.com/)
21:03:32	23929/23929	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202020%2014:03:32%20GMT	https://w.ladicdn.com/s1440x609/57b167c9ca57d39c18a1c57c/subscription-bg.jpg	D:/MyPham/LadiPages/Downloads/mayxay/w.ladicdn.com/s1440x609/57b167c9ca57d39c18a1c57c/subscription-bg.jpg	(from https://lf6105.mayxayyamasaki.com/)
21:03:32	50140/50140	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202020%2014:03:32%20GMT	https://w.ladicdn.com/s796x491/5c2ec58763e3642db9c8b15c/img_5549-min-20200706073853.jpg	D:/MyPham/LadiPages/Downloads/mayxay/w.ladicdn.com/s796x491/5c2ec58763e3642db9c8b15c/img_5549-min-20200706073853.jpg	(from https://lf6105.mayxayyamasaki.com/)
21:03:33	51322/51322	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202020%2014:03:33%20GMT	https://w.ladicdn.com/s796x531/5c2ec58763e3642db9c8b15c/img_5547-min-20200706073852.jpg	D:/MyPham/LadiPages/Downloads/mayxay/w.ladicdn.com/s796x531/5c2ec58763e3642db9c8b15c/img_5547-min-20200706073852.jpg	(from https://lf6105.mayxayyamasaki.com/)
21:03:33	75459/75459	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202020%2014:03:33%20GMT	https://w.ladicdn.com/s1250x800/5c2ec58763e3642db9c8b15c/map-1547520023.jpg	D:/MyPham/LadiPages/Downloads/mayxay/w.ladicdn.com/s1250x800/5c2ec58763e3642db9c8b15c/map-1547520023.jpg	(from https://lf6105.mayxayyamasaki.com/)
21:03:33	121590/121590	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202020%2014:03:33%20GMT	https://w.ladicdn.com/s1250x950/5c2ec58763e3642db9c8b15c/shutterstock-711255955-1563783865.jpg	D:/MyPham/LadiPages/Downloads/mayxay/w.ladicdn.com/s1250x950/5c2ec58763e3642db9c8b15c/shutterstock-711255955-1563783865.jpg	(from https://lf6105.mayxayyamasaki.com/)
21:03:34	126179/126179	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202020%2014:03:34%20GMT	https://w.ladicdn.com/s1250x700/5c2ec58763e3642db9c8b15c/giao-hang-1547520160.jpg	D:/MyPham/LadiPages/Downloads/mayxay/w.ladicdn.com/s1250x700/5c2ec58763e3642db9c8b15c/giao-hang-1547520160.jpg	(from https://lf6105.mayxayyamasaki.com/)
21:03:34	85283/85283	---MCZ	200	added ('OK')	image/png	date:Thu,%2023%20Jul%202020%2014:03:34%20GMT	https://w.ladicdn.com/s550x400/5c2ec58763e3642db9c8b15c/logo33-1546597227.png	D:/MyPham/LadiPages/Downloads/mayxay/w.ladicdn.com/s550x400/5c2ec58763e3642db9c8b15c/logo33-1546597227.png	(from https://lf6105.mayxayyamasaki.com/)
21:03:34	22704/22704	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202020%2014:03:34%20GMT	https://w.ladicdn.com/s650x600/5c2ec58763e3642db9c8b15c/pink3-20200617012032.jpg	D:/MyPham/LadiPages/Downloads/mayxay/w.ladicdn.com/s650x600/5c2ec58763e3642db9c8b15c/pink3-20200617012032.jpg	(from https://lf6105.mayxayyamasaki.com/)
21:03:35	2349474/2349474	---MCZ	200	added ('OK')	image/png	date:Thu,%2023%20Jul%202020%2014:03:33%20GMT	https://w.ladicdn.com/s1250x850/5c2ec58763e3642db9c8b15c/c0004.00_03_29_25-1550627134.png	D:/MyPham/LadiPages/Downloads/mayxay/w.ladicdn.com/s1250x850/5c2ec58763e3642db9c8b15c/c0004.00_03_29_25-1550627134.png	(from https://lf6105.mayxayyamasaki.com/)
21:03:35	765260/765260	---MC-	200	added ('OK')	image/png	date:Thu,%2023%20Jul%202020%2014:03:35%20GMT	https://w.ladicdn.com/s750x800/57b167c9ca57d39c18a1c57c/bg-1.png	D:/MyPham/LadiPages/Downloads/mayxay/w.ladicdn.com/s750x800/57b167c9ca57d39c18a1c57c/bg-1.png	(from https://lf6105.mayxayyamasaki.com/)
21:03:35	21700/21700	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202020%2014:03:35%20GMT	https://w.ladicdn.com/s750x800/5c2ec58763e3642db9c8b15c/0303-20200623041124.jpg	D:/MyPham/LadiPages/Downloads/mayxay/w.ladicdn.com/s750x800/5c2ec58763e3642db9c8b15c/0303-20200623041124.jpg	(from https://lf6105.mayxayyamasaki.com/)
21:03:35	22018/22018	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202020%2014:03:35%20GMT	https://w.ladicdn.com/s400x400/5c2ec58763e3642db9c8b15c/2-may-20200617012032.jpg	D:/MyPham/LadiPages/Downloads/mayxay/w.ladicdn.com/s400x400/5c2ec58763e3642db9c8b15c/2-may-20200617012032.jpg	(from https://lf6105.mayxayyamasaki.com/)
21:03:35	71388/71388	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202020%2014:03:35%20GMT	https://w.ladicdn.com/s800x850/5c2ec58763e3642db9c8b15c/2-may-20200617012032.jpg	D:/MyPham/LadiPages/Downloads/mayxay/w.ladicdn.com/s800x850/5c2ec58763e3642db9c8b15c/2-may-20200617012032.jpg	(from https://lf6105.mayxayyamasaki.com/)
