date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:03:01	93014/93014	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jul%202020%2014:03:00%20GMT	https://www.thailish.com.vn/mioskin	D:/MyPham/LadiPages/Downloads/mioskin01/www.thailish.com.vn/mioskin.html	(from )
21:03:01	22/22	---M--	200	added ('OK')	text/plain	date:Thu,%2023%20Jul%202020%2014:03:01%20GMT	https://www.thailish.com.vn/robots.txt		(from )
21:03:01	150/150	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Jul%202020%2014:03:01%20GMT	https://static.ladipage.net/5b65a67a1178bf771aa59b15/vi-sao-nen-chon-nuoc-xit-duong-khoang-te-bao-goc-mioskin-han-quoc-myphamheracom-500x667-20200229041418.jpg	D:/MyPham/LadiPages/Downloads/mioskin01/static.ladipage.net/5b65a67a1178bf771aa59b15/vi-sao-nen-chon-nuoc-xit-duong-khoang-te-bao-goc-mioskin-han-quoc-myphamheracom-500x667-20200229041418.1.delayed	(from https://www.thailish.com.vn/mioskin)
21:03:02	58700/58700	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202020%2014:03:02%20GMT	https://w.ladicdn.com:443/5b65a67a1178bf771aa59b15/vi-sao-nen-chon-nuoc-xit-duong-khoang-te-bao-goc-mioskin-han-quoc-myphamheracom-500x667-20200229041418.jpg	D:/MyPham/LadiPages/Downloads/mioskin01/w.ladicdn.com_443/5b65a67a1178bf771aa59b15/vi-sao-nen-chon-nuoc-xit-duong-khoang-te-bao-goc-mioskin-han-quoc-myphamheracom-500x667-20200229041418.jpg	(from https://www.thailish.com.vn/mioskin)
21:03:02	142135/142135	---MC-	200	added ('OK')	text/javascript	date:Thu,%2023%20Jul%202020%2014:03:02%20GMT	https://w.ladicdn.com/v2/source/ladipage.min.js?v=1591089450534	D:/MyPham/LadiPages/Downloads/mioskin01/w.ladicdn.com/v2/source/ladipage.min1c77.js	(from https://www.thailish.com.vn/mioskin)
21:03:02	92788/92788	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202020%2014:03:02%20GMT	https://w.ladicdn.com/s1440x481/5b65a67a1178bf771aa59b15/82234892_105662950974532_1997215962222297088_n-20200229022158.jpg	D:/MyPham/LadiPages/Downloads/mioskin01/w.ladicdn.com/s1440x481/5b65a67a1178bf771aa59b15/82234892_105662950974532_1997215962222297088_n-20200229022158.jpg	(from https://www.thailish.com.vn/mioskin)
21:03:02	10084/10084	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202020%2014:03:03%20GMT	https://w.ladicdn.com/s1440x632/57b167c9ca57d39c18a1c57c/vi-tri.jpg	D:/MyPham/LadiPages/Downloads/mioskin01/w.ladicdn.com/s1440x632/57b167c9ca57d39c18a1c57c/vi-tri.jpg	(from https://www.thailish.com.vn/mioskin)
21:03:03	28856/28856	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202020%2014:03:03%20GMT	https://w.ladicdn.com/s1440x881/57b167c9ca57d39c18a1c57c/uu-diem.jpg	D:/MyPham/LadiPages/Downloads/mioskin01/w.ladicdn.com/s1440x881/57b167c9ca57d39c18a1c57c/uu-diem.jpg	(from https://www.thailish.com.vn/mioskin)
21:03:03	344/344	---MCZ	200	added ('OK')	image/png	date:Thu,%2023%20Jul%202020%2014:03:03%20GMT	https://w.ladicdn.com/s550x350/57b167c9ca57d39c18a1c57c/icon-tl.png	D:/MyPham/LadiPages/Downloads/mioskin01/w.ladicdn.com/s550x350/57b167c9ca57d39c18a1c57c/icon-tl.png	(from https://www.thailish.com.vn/mioskin)
21:03:03	7431/7431	---M--	200	added ('OK')	image/jpeg	etag:%220%22	https://img.youtube.com/vi/3qmBpJwluc4/hqdefault.jpg	D:/MyPham/LadiPages/Downloads/mioskin01/img.youtube.com/vi/3qmBpJwluc4/hqdefault.jpg	(from https://www.thailish.com.vn/mioskin)
21:03:04	117146/117146	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202020%2014:03:04%20GMT	https://w.ladicdn.com/s750x800/5b65a67a1178bf771aa59b15/81454027_100359061504921_5206086015902547968_n-20200229022136.jpg	D:/MyPham/LadiPages/Downloads/mioskin01/w.ladicdn.com/s750x800/5b65a67a1178bf771aa59b15/81454027_100359061504921_5206086015902547968_n-20200229022136.jpg	(from https://www.thailish.com.vn/mioskin)
21:03:04	28770/28770	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202020%2014:03:04%20GMT	https://w.ladicdn.com/s400x400/5b65a67a1178bf771aa59b15/81454027_100359061504921_5206086015902547968_n-20200229022136.jpg	D:/MyPham/LadiPages/Downloads/mioskin01/w.ladicdn.com/s400x400/5b65a67a1178bf771aa59b15/81454027_100359061504921_5206086015902547968_n-20200229022136.jpg	(from https://www.thailish.com.vn/mioskin)
21:03:04	226991/226991	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202020%2014:03:04%20GMT	https://w.ladicdn.com/s750x800/5b65a67a1178bf771aa59b15/82083020_101396534735979_8800640232933294080_o-20200229022158.jpg	D:/MyPham/LadiPages/Downloads/mioskin01/w.ladicdn.com/s750x800/5b65a67a1178bf771aa59b15/82083020_101396534735979_8800640232933294080_o-20200229022158.jpg	(from https://www.thailish.com.vn/mioskin)
21:03:04	58420/58420	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202020%2014:03:04%20GMT	https://w.ladicdn.com/s400x400/5b65a67a1178bf771aa59b15/82083020_101396534735979_8800640232933294080_o-20200229022158.jpg	D:/MyPham/LadiPages/Downloads/mioskin01/w.ladicdn.com/s400x400/5b65a67a1178bf771aa59b15/82083020_101396534735979_8800640232933294080_o-20200229022158.jpg	(from https://www.thailish.com.vn/mioskin)
21:03:04	149340/149340	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202020%2014:03:05%20GMT	https://w.ladicdn.com/s750x800/5b65a67a1178bf771aa59b15/82162469_116265473226284_8435019863277174784_n-20200229022158.jpg	D:/MyPham/LadiPages/Downloads/mioskin01/w.ladicdn.com/s750x800/5b65a67a1178bf771aa59b15/82162469_116265473226284_8435019863277174784_n-20200229022158.jpg	(from https://www.thailish.com.vn/mioskin)
