date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:01:06	74873/74873	---MC-	200	added ('OK')	text/html	date:Thu,%2023%20Jul%202020%2014:01:06%20GMT	https://alomart1.shop/products/phan-nen	D:/MyPham/LadiPages/Downloads/phannen/alomart1.shop/products/phan-nen.html	(from )
21:01:06	24/24	---M--	200	added ('OK')	text/plain	etag:%225ebd5476-18%22	https://alomart1.shop/robots.txt		(from )
21:01:07	159962/159962	---M--	200	added ('OK')	image/png	etag:%225ebe0c74-270da%22	https://alomart1.shop/storage/photos/1/ADMIN1/logo.png	D:/MyPham/LadiPages/Downloads/phannen/alomart1.shop/storage/photos/1/ADMIN1/logo.png	(from https://alomart1.shop/products/phan-nen)
21:01:07	19772/19772	---M--	200	added ('OK')	text/css	etag:%225ef9623c-4d3c%22	https://alomart1.shop/themes/vnshop8/js/libs/swiper/css/swiper.min.css	D:/MyPham/LadiPages/Downloads/phannen/alomart1.shop/themes/vnshop8/js/libs/swiper/css/swiper.min.css	(from https://alomart1.shop/products/phan-nen)
21:01:07	516704/516704	---M--	200	added ('OK')	text/css	etag:%225ef9623c-7e260%22	https://alomart1.shop/themes/vnshop8/css/app.min-v=9.css	D:/MyPham/LadiPages/Downloads/phannen/alomart1.shop/themes/vnshop8/css/app.min-v=9.css	(from https://alomart1.shop/products/phan-nen)
21:01:07	220989/220989	---M--	200	added ('OK')	text/css	etag:%225ef9623c-35f3d%22	https://alomart1.shop/themes/vnshop8/css/main.min-v=11.css	D:/MyPham/LadiPages/Downloads/phannen/alomart1.shop/themes/vnshop8/css/main.min-v=11.css	(from https://alomart1.shop/products/phan-nen)
21:01:07	52789/52789	---M--	200	added ('OK')	text/css	etag:%225ef9623c-ce35%22	https://alomart1.shop/themes/vnshop8/css/animate.min.css	D:/MyPham/LadiPages/Downloads/phannen/alomart1.shop/themes/vnshop8/css/animate.min.css	(from https://alomart1.shop/products/phan-nen)
21:01:07	4137/4137	---M--	200	added ('OK')	text/css	etag:%225ef9623c-1029%22	https://alomart1.shop/themes/vnshop8/js/libs/photoswipe/photoswipe.css	D:/MyPham/LadiPages/Downloads/phannen/alomart1.shop/themes/vnshop8/js/libs/photoswipe/photoswipe.css	(from https://alomart1.shop/products/phan-nen)
21:01:08	11613/11613	---M--	200	added ('OK')	text/css	etag:%225ef9623c-2d5d%22	https://alomart1.shop/themes/vnshop8/js/libs/photoswipe/default-skin/default-skin.css	D:/MyPham/LadiPages/Downloads/phannen/alomart1.shop/themes/vnshop8/js/libs/photoswipe/default-skin/default-skin.css	(from https://alomart1.shop/products/phan-nen)
21:01:08	2388/2388	---M--	200	added ('OK')	text/css	etag:%225ef9623c-954%22	https://alomart1.shop/themes/vnshop8/css/custom.css	D:/MyPham/LadiPages/Downloads/phannen/alomart1.shop/themes/vnshop8/css/custom.css	(from https://alomart1.shop/products/phan-nen)
