date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:51:50	163960/163960	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jul%202020%2016:51:50%20GMT	https://son3ce.sinuochoaphap.com/au-the	D:/MyPham/LadiPages/3CE_04/son3ce.sinuochoaphap.com/au-the.html	(from )
23:51:50	22/22	---M--	200	added ('OK')	text/plain	date:Mon,%2020%20Jul%202020%2016:51:51%20GMT	https://son3ce.sinuochoaphap.com/robots.txt		(from )
23:51:50	150/150	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Jul%202020%2016:51:51%20GMT	https://static.ladipage.net/5d41159517e36b7f68e5cfec/db5015d87caffb08c6c6cb78cbb7e576-20200615032209.jpg	D:/MyPham/LadiPages/3CE_04/static.ladipage.net/5d41159517e36b7f68e5cfec/db5015d87caffb08c6c6cb78cbb7e576-20200615032209.1.delayed	(from https://son3ce.sinuochoaphap.com/au-the)
23:51:51	120459/120459	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2020%20Jul%202020%2016:51:52%20GMT	https://w.ladicdn.com:443/5d41159517e36b7f68e5cfec/db5015d87caffb08c6c6cb78cbb7e576-20200615032209.jpg	D:/MyPham/LadiPages/3CE_04/w.ladicdn.com_443/5d41159517e36b7f68e5cfec/db5015d87caffb08c6c6cb78cbb7e576-20200615032209.jpg	(from https://son3ce.sinuochoaphap.com/au-the)
23:51:51	151071/151071	---MC-	200	added ('OK')	text/javascript	date:Mon,%2020%20Jul%202020%2016:51:52%20GMT	https://w.ladicdn.com/v2/source/ladipage.min.js?v=1594175749601	D:/MyPham/LadiPages/3CE_04/w.ladicdn.com/v2/source/ladipage.min8697.js	(from https://son3ce.sinuochoaphap.com/au-the)
23:51:51	136498/136498	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2020%20Jul%202020%2016:51:52%20GMT	https://w.ladicdn.com/s800x750/5d41159517e36b7f68e5cfec/b89968cd23ecdeb287fd-20200626061219.jpg	D:/MyPham/LadiPages/3CE_04/w.ladicdn.com/s800x750/5d41159517e36b7f68e5cfec/b89968cd23ecdeb287fd-20200626061219.jpg	(from https://son3ce.sinuochoaphap.com/au-the)
23:51:51	49839/49839	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2020%20Jul%202020%2016:51:52%20GMT	https://w.ladicdn.com/s400x400/5d41159517e36b7f68e5cfec/b89968cd23ecdeb287fd-20200626061219.jpg	D:/MyPham/LadiPages/3CE_04/w.ladicdn.com/s400x400/5d41159517e36b7f68e5cfec/b89968cd23ecdeb287fd-20200626061219.jpg	(from https://son3ce.sinuochoaphap.com/au-the)
23:51:51	53825/53825	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2020%20Jul%202020%2016:51:53%20GMT	https://w.ladicdn.com/s800x750/5d41159517e36b7f68e5cfec/swatch-son-3ce-moi-20200626061250.jpg	D:/MyPham/LadiPages/3CE_04/w.ladicdn.com/s800x750/5d41159517e36b7f68e5cfec/swatch-son-3ce-moi-20200626061250.jpg	(from https://son3ce.sinuochoaphap.com/au-the)
23:51:52	30961/30961	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2020%20Jul%202020%2016:51:53%20GMT	https://w.ladicdn.com/s400x400/5d41159517e36b7f68e5cfec/swatch-son-3ce-moi-20200626061250.jpg	D:/MyPham/LadiPages/3CE_04/w.ladicdn.com/s400x400/5d41159517e36b7f68e5cfec/swatch-son-3ce-moi-20200626061250.jpg	(from https://son3ce.sinuochoaphap.com/au-the)
23:51:52	30010/30010	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2020%20Jul%202020%2016:51:53%20GMT	https://w.ladicdn.com/s800x750/5d41159517e36b7f68e5cfec/son-3ce-mau-speak-up-classic-blue-thiet-ke-20200626061250.jpg	D:/MyPham/LadiPages/3CE_04/w.ladicdn.com/s800x750/5d41159517e36b7f68e5cfec/son-3ce-mau-speak-up-classic-blue-thiet-ke-20200626061250.jpg	(from https://son3ce.sinuochoaphap.com/au-the)
